concept,deps,dep_articles
Idempotent (ring theory),"['group', 'ring', 'degree']","['Group (mathematics)', 'Ring (mathematics)', 'Degree (graph theory)']"
Force,"['vector', 'quantity', 'direction']","['Vector (mathematics and physics)', 'Quantity', 'Vector (mathematics and physics)']"
Removable singularity,"['curve', 'point', 'shape']","['Curve', 'Point (geometry)', 'Shape']"
Modulus,"['ratio', 'ratios', 'number']","['Ratio', 'Ratio', 'Number']"
Summation,"['set', 'element', 'sum']","['Set (mathematics)', 'Element (mathematics)', 'Series (mathematics)']"
List of unsolved problems in mathematics,"['list', 'problem', 'solve']","['Mathematics', 'Word problem (mathematics)', 'Solver']"
Hofstadter sequence,"['prime number', 'sequence', 'set']","['Prime number', 'Sequence', 'Set (mathematics)']"
RRQR factorization,"['prime number', 'polynomial', 'factor']","['Prime number', 'Polynomial', 'Factor']"
Incidence matrix,"['event', 'occurrence', 'matrix']","['Probability', 'Co-occurrence matrix', 'Matrix (mathematics)']"
DFT matrix,"['dimension', 'matrix', 'n']","['Dimension', 'Matrix (mathematics)', 'N-sphere']"
Multiplication,"['operation', 'mathematical', 'concept']","['Operation (mathematics)', 'Mathematics', 'Concept']"
Support (mathematics),"['line', 'axis', 'rotation']","['Line (geometry)', 'Axis', 'Rotation (mathematics)']"
Icon (computing),"['character', 'character', 'symbol']","['Character (mathematics)', 'Character (mathematics)', 'Radical symbol']"
Leslie matrix,"['matrix', 'form', 'ax2']","['Matrix (mathematics)', 'Determinant', 'E (mathematical constant)']"
0,['negative number'],['Negative number']
Focus (geometry),"['point', 'focus', 'image']","['Point (geometry)', 'Image (mathematics)']"
Partition of a set,"['set', 'element', 'number']","['Set (mathematics)', 'Element (mathematics)', 'Number']"
Reciprocal polynomial,"['degree n', 'polynomial', 'coefficient']","['Degree (graph theory)', 'Polynomial', 'Coefficient']"
Sparse matrix,"['matrix', 'zero', 'zeros']","['Matrix (mathematics)', '0', '0']"
Space (mathematics),"['a plane', 'vector', 'region']","['Plane (geometry)', 'Vector (mathematics and physics)', 'Domain (mathematical analysis)']"
Tetrahedron,"['polygon', 'figure', 'side']","['Polygon', 'Shape', 'Parity (mathematics)']"
Affine space,"['space', 'pattern', 'point']","['Space (mathematics)', 'Pattern', 'Point (geometry)']"
Integer factorization,['prime factorization'],[]
Mathematical proof,"['theorem', 'result', 'prove']","['Theorem', 'Result', 'Lemma (mathematics)']"
Universal approximation theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Transpose,"['inverse', 'ratio', 'multiply']","['Inverse function', 'Ratio', 'Matrix (mathematics)']"
Euclid,"['figure', 'geometry', 'figure']","['Shape', 'Geometry', 'Shape']"
Degree of a polynomial,"['degree', 'polynomial', 'term']","['Degree (graph theory)', 'Polynomial', 'Quadrature (mathematics)']"
Binomial coefficient,"['number', 'term', 'expansion']","['Number', 'Quadrature (mathematics)', 'Series expansion']"
Geometry,"['set', 'rule', 'describe']","['Set (mathematics)', ""Cramer's rule"", 'Vector (mathematics and physics)']"
Hyperbola,"['hyperbola', 'curve', 'point']","['Curve', 'Point (geometry)']"
Positive-definite function,"['positive-definiteness', 'definiteness']","['Positive definiteness', 'Definite matrix']"
Annuity,"['periodic payment', 'payment', 'interest']","['Present value', 'Interest']"
Transformation matrix,"['matrix', 'transform', 'matrix algebra']","['Matrix (mathematics)', 'Z-transform', 'Linear algebra']"
H-index,"['citation', 'work', 'receive']","['Function (mathematics)', 'Mathematics', 'Division (mathematics)']"
Trinomial,"['polynomial', 'function', 'graph']","['Polynomial', 'Function (mathematics)', 'Graph (discrete mathematics)']"
Semisimple operator,"['operator', 'mathematical', 'not']","['Operator (mathematics)', 'Mathematics', 'Matrix (mathematics)']"
String theory,"['quantum theory', 'quantum mechanics']","['Quantum gravity', 'Quantum mechanics']"
Hermitian matrix,"['matrix', 'vector', 'combination']","['Matrix (mathematics)', 'Vector (mathematics and physics)', 'Combination']"
Perimeter,"['diameter', 'circle', 'length']","['Diameter (disambiguation)', 'Circle', 'Length']"
Distance,"['measure', 'distance', 'point']","['Measure (mathematics)', 'Point (geometry)']"
Graph isomorphism problem,"['graph', 'point', 'set']","['Graph (discrete mathematics)', 'Point (geometry)', 'Set (mathematics)']"
Indigenous education,"['population', 'education', 'system']","['World population', 'Mathematics', 'Mathematics']"
Matrix theory (physics),"['set', 'matrix', 'matrix product']","['Set (mathematics)', 'Matrix (mathematics)', 'Outer product']"
Transfer operator,"['operator', 'value', 'transfer']","['Operator (mathematics)', 'Truth value', 'Matrix (mathematics)']"
Minimum wage,"['hourly rate', 'pay', 'employee']","['Wage', 'E (mathematical constant)', 'Employment']"
Imaginary unit,['number that is neither real nor a real number'],['Extended real number line']
Factorial experiment,"['increase', 'decrease', 'factor']","['Sequence', 'Sequence', 'Factor']"
Vertical tangent,"['line', 'tangent', 'line segment']","['Line (geometry)', 'Tangent', 'Line segment']"
Gram matrix,"['group', 'matrix', 'element']","['Group (mathematics)', 'Matrix (mathematics)', 'Element (mathematics)']"
Normal operator,"['operator', 'scalar', 'combination']","['Operator (mathematics)', 'Scalar (mathematics)', 'Combination']"
Spectral theory,"['spectra', 'theory', 'function']","['Spectra (mathematical association)', 'Set theory', 'Function (mathematics)']"
Standard basis,"['arithmetic mean', 'number', 'set']","['Arithmetic mean', 'Number', 'Set (mathematics)']"
Order of a polynomial,"['degree', 'polynomial', 'number']","['Degree (graph theory)', 'Polynomial', 'Number']"
Oscillator representation,"['scalar', 'function', 'representation']","['Scalar (mathematics)', 'Function (mathematics)', 'Representation (mathematics)']"
Smith normal form,"['set', 'group', 'equivalence']","['Set (mathematics)', 'Group (mathematics)', 'Equivalence class']"
Taylor's theorem,['Fourier transform'],['Fourier transform']
Terminal velocity,"['speed', 'body', 'accelerate']","['Speed', 'Rigid body', 'Acceleration']"
Cartan–Dieudonné theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Alpha Centauri Bb,"['binary star system', 'binary star', 'orbit']","['Binary star', 'Binary star', 'Orbit']"
Automatic differentiation,"['discrete function', 'continuous function']","['Discretization', 'Continuous function']"
Cauchy sequence,"['number sequence', 'sum', 'sequence']","['Series (mathematics)', 'Sequence']"
Diophantine equation,"['polynomial', 'equation', 'unknown']","['Polynomial', 'Equation', 'Equation']"
Ideal gas,"['gas', 'pressure', 'volume']","['Gas', 'Pressure', 'Volume']"
Attractor,"['line', 'point', 'converge']","['Line (geometry)', 'Point (geometry)', 'Limit (mathematics)']"
Projection (linear algebra),"['vector', 'space', 'map']","['Vector (mathematics and physics)', 'Space (mathematics)', 'Map (mathematics)']"
Theory of relativity,"['theory', 'gravity', 'theory']","['Set theory', 'Gravity', 'Set theory']"
Positive feedback,"['negative feedback', 'feedback', 'gain']","['Negative feedback', 'Feedback', 'Gain graph']"
Finite field arithmetic,"['field', 'arithmetic', 'field theory']","['Field (mathematics)', 'Arithmetic', 'Gauge theory (mathematics)']"
Angle,"['measure', 'angle', 'line']","['Measure (mathematics)', 'Line (geometry)']"
Diagonalization,"['line', 'x-axis', 'segment']","['Line (geometry)', 'Axis', 'Line segment']"
Interest rate,"['change', 'rate', 'change']","['Rate (mathematics)', 'Rate (mathematics)', 'Rate (mathematics)']"
Fast Fourier transform,"['transform', 'frequency', 'signal']","['Z-transform', 'Frequency (statistics)', 'Signal']"
Dependent and independent variables,['dependent and independent variables'],[]
Primary color,"['color', 'color', 'mix']","['Color', 'Color', 'Mixing (mathematics)']"
Rigid rotor,"['rotor', 'axis', 'rotorcraft']","['Rotor (mathematics)', 'Axis', 'Mu (letter)']"
Recurrence relation,"['periodic function', 'zero', 'one']","['Periodic function', '0', 'Identity (mathematics)']"
Vector calculus,"['vector', 'theory', 'vector space']","['Vector (mathematics and physics)', 'Set theory', 'Vector space']"
Binomial (polynomial),"['polynomial', 'function', 'graph']","['Polynomial', 'Function (mathematics)', 'Graph (discrete mathematics)']"
Surface (mathematics),"['polygon', 'figure', 'side']","['Polygon', 'Shape', 'Parity (mathematics)']"
Dynamical system,"['change', 'state', 'equation']","['Rate (mathematics)', 'Function (mathematics)', 'Equation']"
Disjoint sets,"['set', 'element', 'elemental']","['Set (mathematics)', 'Element (mathematics)', 'Measurement']"
Line (geometry),"['line', 'straight', 'line segment']","['Set (mathematics)', 'Line segment']"
Direct sum of modules,"['set', 'group', 'element']","['Set (mathematics)', 'Group (mathematics)', 'Element (mathematics)']"
Definable,"['number', 'function', 'parameter']","['Number', 'Function (mathematics)', 'Parameter']"
Input–output model,"['model', 'economy', 'output']","['Mathematics', 'Economy', 'Function (mathematics)']"
Y-intercept,"['graph', 'point', 'y-axis']","['Graph (discrete mathematics)', 'Point (geometry)', 'Function (mathematics)']"
Symmetric matrix,"['matrix', 'row', 'column']","['Matrix (mathematics)', 'Rank (linear algebra)', 'Matrix (mathematics)']"
Gauss's method,"['averaging', 'solve', 'equation']","['Average', 'Solver', 'Equation']"
Magic square,"['cell', 'side', 'square']","['K-cell (mathematics)', 'Parity (mathematics)', 'Square']"
Completing the square,"['complete', 'side', 'square']","['NP-completeness', 'Parity (mathematics)', 'Square']"
Self-adjoint operator,"['derivative', 'function', 'combination']","['Derivative', 'Function (mathematics)', 'Combination']"
Edge (geometry),"['surface', 'line', 'segment']","['Surface (mathematics)', 'Line (geometry)', 'Line segment']"
Magnitude (mathematics),"['ratio', 'number', 'digit']","['Ratio', 'Number', 'Digit sum']"
Hamming code,"['binary number', 'code', 'number']","['Binary number', 'Code', 'Number']"
Multiplicative function,['Multiplication'],['Multiplication']
Herbert Wilf,"['number', 'orchestra', 'symphony']","['Number', 'Palladio (Jenkins)', 'COIN-OR']"
Andrey Markov,"['probability', 'model', 'generate']","['Probability', 'Mathematics', 'Generator (mathematics)']"
Direct proof,"['proof', 'argument', 'logic']","['Proof theory', 'Argument (complex analysis)', 'Logic']"
Probability measure,"['measure', 'event', 'probability']","['Measure (mathematics)', 'Probability', 'Probability']"
Mean squared error,['a measure of the average squared error in a statistical estimate'],[]
Cubic function,"['function', 'value', 'return']","['Function (mathematics)', 'Truth value', 'Rate of return']"
Triangular prism,"['face', 'edge', 'figure']","['Face (geometry)', 'Graph (discrete mathematics)', 'Shape']"
Atlas (topology),"['topology', 'space', 'map']","['Topology', 'Space (mathematics)', 'Map (mathematics)']"
Hadamard product (matrices),"['product', 'matrix', 'matrix product']","['Product (mathematics)', 'Matrix (mathematics)', 'Outer product']"
Foundations of mathematics,"['axiom', 'mathematics', 'concept']","['Axiom', 'Mathematics', 'Concept']"
Hilbert projection theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Matrix (mathematics),"['array', 'element', 'dimension']","['Array (data structure)', 'Element (mathematics)', 'Dimension']"
Google,"['search', 'engine', 'word']","['Local search (optimization)', 'Wankel engine', 'Word (group theory)']"
Transverse wave,"['wave', 'travel', 'line']","['Wave', 'Wave', 'Line (geometry)']"
PageRank,['Web page rank'],[]
Support vector machine,"['predict', 'classifier', 'output']","['Prediction', 'Bayes classifier', 'Function (mathematics)']"
Total internal reflection,"['wave', 'surface', 'reflection']","['Wave', 'Surface (mathematics)', 'Reflection (mathematics)']"
System of equations,"['set', 'equation', 'connect']","['Set (mathematics)', 'Equation', 'Connector (mathematics)']"
Anil Nerode,"['group', 'symplectic', 'group property']","['Group (mathematics)', 'Symplectic', 'Residual property (mathematics)']"
Geometric series,"['number', 'sequence', 'sum']","['Number', 'Sequence', 'Series (mathematics)']"
Geometry processing,"['set', 'operation', 'point']","['Set (mathematics)', 'Operation (mathematics)', 'Point (geometry)']"
Line segment,"['line', 'segment', 'line']","['Line (geometry)', 'Line (geometry)']"
Rise time,"['time', 'surface', 'wave']","['Local time (mathematics)', 'Surface (mathematics)', 'Wave']"
Examples of vector spaces,"['vector', 'space', 'spacetime']","['Vector (mathematics and physics)', 'Space (mathematics)', 'Spacetime']"
Tensor operator,"['operator', 'scalar', 'vector']","['Operator (mathematics)', 'Scalar (mathematics)', 'Vector (mathematics and physics)']"
Euler's formula,"['area', 'triangle', 'formula']","['Area', 'Triangle', 'Formula']"
Weierstrass factorization theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Complex plane,"['plane', 'real', 'imaginary']","['Plane (geometry)', 'Interval (mathematics)', 'Imaginary unit']"
Nullity (graph theory),"['directed graph', 'edge', 'graph']","['Directed graph', 'Graph (discrete mathematics)', 'Graph (discrete mathematics)']"
Bernstein polynomial,"['coefficient', 'polynomial', 'a']","['Coefficient', 'Polynomial', 'Set (mathematics)']"
Reverse mathematics,"['inverse', 'ratio', 'multiply']","['Inverse function', 'Ratio', 'Matrix (mathematics)']"
Multiview orthographic projection,"['plane', 'scene', 'projection']","['Plane (geometry)', 'Rendering (computer graphics)', 'Projection (mathematics)']"
Phase (waves),"['change', 'phase', 'wave']","['Rate (mathematics)', 'Wave']"
Condition number,"['system', 'equilibrium', 'measure']","['Mathematics', 'Nash equilibrium', 'Measure (mathematics)']"
Modular arithmetic,"['arithmetic', 'number', 'whole']","['Arithmetic', 'Number', 'Locus (mathematics)']"
Polarization identity,"['polarization', 'vector space', 'property']","['Photon polarization', 'Vector space', 'Property (mathematics)']"
Fundamental theorem of linear algebra,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Composition operator,"['product', 'function', 'number']","['Product (mathematics)', 'Function (mathematics)', 'Number']"
Semidirect product,"['product', 'vector', 'vector product']","['Product (mathematics)', 'Vector (mathematics and physics)', 'Cross product']"
BCH code,"['bit', 'integer', 'number']","['Bit', 'Integer', 'Number']"
Generalized inverse,"['inverse', 'function', 'function']","['Inverse function', 'Function (mathematics)', 'Function (mathematics)']"
Delay differential equation,"['time', 'function', 'equation']","['Local time (mathematics)', 'Function (mathematics)', 'Equation']"
Hyperplane,"['line', 'plane', 'perpendicular']","['Line (geometry)', 'Plane (geometry)', 'Perpendicular']"
Fibonacci cube,"['Fibonacci number', 'sequence', 'square']","['Fibonacci number', 'Sequence', 'Square']"
Bilinear form,"['x-coordinate', 'y-coordinate', 'point']","['Coordinate system', 'Coordinate system', 'Point (geometry)']"
Lagrange polynomial,"['differential equation', 'solution', 'polynomial']","['Differential equation', 'Equation', 'Polynomial']"
CP violation,"['group', 'Lie', 'symmetry']","['Group (mathematics)', 'E8 (mathematics)', 'Symmetry']"
Regular representation,"['set', 'element', 'representation']","['Set (mathematics)', 'Element (mathematics)', 'Representation (mathematics)']"
Implicit function,"['function', 'argument', 'define']","['Function (mathematics)', 'Argument (complex analysis)', 'Definable']"
Euclidean space,"['dimensionality', 'space', 'number']","['Dimension', 'Space (mathematics)', 'Number']"
Identity matrix,"['identity matrix', 'matrix', 'element']","['Matrix (mathematics)', 'Element (mathematics)']"
Normal fan,"['speed', 'fan', 'rotate']","['Speed', 'Ky Fan', 'Rotation']"
Monotonic function,"['continuous', 'function', 'parameter']","['Continuous function', 'Function (mathematics)', 'Parameter']"
Algebraically closed field,"['Field', 'element', 'field']","['Field (mathematics)', 'Element (mathematics)', 'Field (mathematics)']"
Axiom of countable choice,"['set', 'element', 'number']","['Set (mathematics)', 'Element (mathematics)', 'Number']"
Trigonometric interpolation,"['interpolation', 'curve', 'point']","['Interpolation', 'Curve', 'Point (geometry)']"
Glossary of string theory,"['collection', 'term', 'concept']","['Mathematics', 'Quadrature (mathematics)', 'Concept']"
Form factor (electronics),"['size', 'board', 'circuit']","['Size', 'Chinese mathematics', 'RLC circuit']"
Pearson correlation coefficient,"['measure', 'relationship', 'variable']","['Measure (mathematics)', 'Spurious relationship', 'Variable (mathematics)']"
Desargues's theorem,"['theorem', 'geometry', 'proof']","['Theorem', 'Geometry', 'Proof theory']"
Orthogonal instruction set,"['arithmetic', 'instruction', 'operation']","['Arithmetic', 'Peer instruction', 'Operation (mathematics)']"
Sustainable Development Goal 4,"['percentage', 'target', 'energy']","['Percentage', 'Map (mathematics)', 'Energy']"
Quadratic,"['polynomial', 'function', 'graph']","['Polynomial', 'Function (mathematics)', 'Graph (discrete mathematics)']"
Block matrix,"['matrix', 'block', 'diagonal']","['Matrix (mathematics)', 'Unicode block', 'Diagonal']"
Simultaneous equations model,"['differential equation', 'model', 'system']","['Differential equation', 'Mathematics', 'Mathematics']"
Bogoliubov transformation,"['symmetry', 'group', 'transformation']","['Symmetry', 'Group (mathematics)', 'Transformation (function)']"
Tensor,"['vector', 'function', 'value']","['Vector (mathematics and physics)', 'Function (mathematics)', 'Truth value']"
History of the function concept,"['concept', 'function', 'history']","['Concept', 'Function (mathematics)', 'Mathematics']"
Nilpotent matrix,"['matrix', 'diagonal', 'element']","['Matrix (mathematics)', 'Diagonal', 'Element (mathematics)']"
Flat Earth,"['spherical geometry', 'sphere']","['Spherical geometry', 'Sphere']"
Decomposition (disambiguation),"['decomposition', 'function', 'graph']","['Function (mathematics)', 'Graph (discrete mathematics)']"
Chromatic polynomial,"['range', 'polynomial', 'coefficient']","['Variable (mathematics)', 'Polynomial', 'Coefficient']"
Argument,"['product', 'number', 'quantity']","['Product (mathematics)', 'Number', 'Quantity']"
Permutation,"['set', 'element', 'combination']","['Set (mathematics)', 'Element (mathematics)', 'Combination']"
Complex number,"['digit', 'number', 'digits']","['Digit sum', 'Number', 'Digit sum']"
Conjecture,"['theorem', 'fact', 'theory']","['Theorem', 'Fact', 'Set theory']"
Borel equivalence relation,"['set', 'relation', 'number']","['Set (mathematics)', 'Relation (mathematics)', 'Number']"
Midpoint method,"['set', 'number', 'average']","['Set (mathematics)', 'Number', 'Average']"
Auxiliary function,['identity function'],['Identity function']
Radius (disambiguation),"['diameter', 'circle', 'radius']","['Diameter (disambiguation)', 'Circle', 'Radius']"
Nullity theorem,"['set', 'number', 'real']","['Set (mathematics)', 'Number', 'Interval (mathematics)']"
Positive operator (Hilbert space),"['Hilbert space', 'real line', 'function']","['Hilbert space', 'Real number', 'Function (mathematics)']"
Set theory,"['set theory', 'theory of numbers']",['History of mathematics']
Projective space,"['line', 'point', 'space']","['Line (geometry)', 'Point (geometry)', 'Space (mathematics)']"
Finite difference,"['method', 'solve', 'equation']","['Mathematics', 'Solver', 'Equation']"
Modulo (mathematics),"['number', 'multiple', 'number']","['Number', 'Multiple (mathematics)', 'Number']"
Real number,"['number', 'number system', 'real number']","['Number', 'Number']"
Induced homomorphism,"['group', 'subset', 'map']","['Group (mathematics)', 'Subset', 'Map (mathematics)']"
Fisher's exact test,"['test', 'variance', 'equality']","['SAT', 'Variance', 'Equality (mathematics)']"
Power associativity,"['property', 'subgroup', 'group']","['Property (mathematics)', 'Subgroup', 'Group (mathematics)']"
Exponential function,"['increase', 'decrease', 'function']","['Sequence', 'Sequence', 'Function (mathematics)']"
Graph (discrete mathematics),"['graph theory', 'directed graph']","['Graph theory', 'Directed graph']"
Diagonal,"['line', 'x-axis', 'segment']","['Line (geometry)', 'Axis', 'Line segment']"
Echelon formation,"['group', 'triangle', 'number']","['Group (mathematics)', 'Triangle', 'Number']"
Staircase paradox,"['function', 'problem', 'solution']","['Function (mathematics)', 'Word problem (mathematics)', 'Equation']"
Group representation,"['group', 'set', 'element']","['Group (mathematics)', 'Set (mathematics)', 'Element (mathematics)']"
Ideal (ring theory),"['group', 'ring', 'subset']","['Group (mathematics)', 'Ring (mathematics)', 'Subset']"
Frobenius inner product,"['product', 'vector', 'vector product']","['Product (mathematics)', 'Vector (mathematics and physics)', 'Cross product']"
Right Sector,"['tangent', 'circle', 'circumference']","['Tangent', 'Circle', 'Circumference']"
Spacetime triangle diagram technique,"['metric', 'spacetime', 'geometry']","['Metric space', 'Spacetime', 'Geometry']"
Log-polar coordinates,"['logarithm', 'scale', 'number']","['Logarithm', 'Scaling (geometry)', 'Number']"
Production function,"['resource', 'amount', 'function']","['Tau', 'Matrix (mathematics)', 'Function (mathematics)']"
Mathematical statistics,"['probability theory', 'statistics']","['Probability theory', 'Statistics']"
Differentiable function,"['point', 'function', 'evaluate']","['Point (geometry)', 'Function (mathematics)', 'Evaluation']"
Euclidean geometry,"['geometry', 'figure', 'property']","['Geometry', 'Shape', 'Property (mathematics)']"
Anthropic principle,"['determinism', 'choice', 'universe']","['Determinism', 'Origin (mathematics)', 'Universe (mathematics)']"
Skew-symmetric graph,"['graph', 'chord', 'edge']","['Graph (discrete mathematics)', 'Chord (geometry)', 'Graph (discrete mathematics)']"
Covariance matrix,"['covariance matrix', 'variance']",['Variance']
Antipodal point,"['latitude', 'point', 'origin']","['Latitude', 'Point (geometry)', 'Origin (mathematics)']"
Additive inverse,"['inverse', 'function', 'graph']","['Inverse function', 'Function (mathematics)', 'Graph (discrete mathematics)']"
Linear subspace,"['subspace', 'linear space', 'space']","['Space (mathematics)', 'Linear span', 'Space (mathematics)']"
Generalized eigenvector,['orthogonal matrix'],['Orthogonal matrix']
Image (mathematics),"['representation', 'object', 'mathematical']","['Representation (mathematics)', 'Category (mathematics)', 'Mathematics']"
Accelerating change,"['change', 'rate', 'change']","['Rate (mathematics)', 'Rate (mathematics)', 'Rate (mathematics)']"
Quotient space (topology),"['topological space', 'subset']","['Topological space', 'Subset']"
Penrose triangle,"['tangent', 'circumcircle', 'triangle']","['Tangent', 'Circumscribed circle', 'Triangle']"
Random number generation,"['Random', 'number', 'generator']","['Random walk', 'Number', 'Generator (mathematics)']"
Horizontal convective rolls,"['surface', 'convexity', 'curve']","['Surface (mathematics)', 'Convex set', 'Curve']"
S-box,"['surface', 'box', 'top']","['Surface (mathematics)', 'Box plot', 'Top type']"
Quotient space (linear algebra),"['set', 'subset', 'space']","['Set (mathematics)', 'Subset', 'Space (mathematics)']"
Graph theory,['Graph theory'],[]
Local optimum,"['point', 'solution', 'problem']","['Point (geometry)', 'Equation', 'Word problem (mathematics)']"
Dual module,"['matrices', 'set', 'element']","['Matrix (mathematics)', 'Set (mathematics)', 'Element (mathematics)']"
Sense,['a measure of the extent to which something is a part of the whole'],['A Treatise of Human Nature']
Eigenvector centrality,"['Eigenvector', 'eigenspace', 'eigenvector centrality']","['Eigenface', 'Weight (representation theory)']"
Last Supper,"['meal', 'centre', 'attention']","['Mathematics', 'Attention']"
Principal component analysis,"['data set', 'variable', 'reduce']","['Set (abstract data type)', 'Variable (mathematics)', 'Reduce (computer algebra system)']"
Plane stress,"['stress', 'surface', 'apply']","['Stress (mechanics)', 'Surface (mathematics)', 'Apply']"
Reciprocal gamma function,"['gamma', 'function', 'reciprocal']","['Gamma', 'Function (mathematics)', 'Reciprocal length']"
Conjugate element (field theory),"['field theory', 'element', 'conjugate']","['Gauge theory (mathematics)', 'Element (mathematics)', 'Conjugate (square roots)']"
Straight-line grammar,"['rule', 'grammar', 'line']","[""Cramer's rule"", 'Formal grammar', 'Line (geometry)']"
Numbers (season 5),"['digit', 'series', 'number']","['Digit sum', 'Series (mathematics)', 'Number']"
Inclusion map,"['set', 'element', 'map']","['Set (mathematics)', 'Element (mathematics)', 'Map (mathematics)']"
Complemented subspace,"['subspace', 'copy', 'space']","['Space (mathematics)', 'Function (mathematics)', 'Space (mathematics)']"
Conjugate transpose,"['inverse', 'function', 'graph']","['Inverse function', 'Function (mathematics)', 'Graph (discrete mathematics)']"
Computer algebra system,"['arithmetic', 'logical', 'program']","['Arithmetic', 'Axiom', 'Mathematics']"
Schur's theorem,"['theorem', 'geometry', 'proof']","['Theorem', 'Geometry', 'Proof theory']"
Crank–Nicolson method,"['matrix', 'eigenvalue', 'eigenvector']","['Matrix (mathematics)', 'Degeneracy (mathematics)', 'Eigenface']"
Cardioid,"['tangent', 'radius', 'circle']","['Tangent', 'Radius', 'Circle']"
Polynomial ring,"['ring', 'polynomial', 'degree']","['Ring (mathematics)', 'Polynomial', 'Degree (graph theory)']"
Equivalence relation,"['inverse', 'relation', 'relational']","['Inverse function', 'Relation (mathematics)', 'Relation (mathematics)']"
Atmospheric lidar,"['atmosphere', 'light', 'source']","['Ceres (dwarf planet)', 'Light', 'Point source']"
Antiparallelogram,"['figure', 'vertices', 'parallel']","['Shape', 'Vertex (graph theory)', 'Parallel (operator)']"
Vertex (geometry),"['line segment', 'midpoint']","['Line segment', 'Midpoint']"
Bessel's inequality,['positive constant'],"[""Euler's constant""]"
Consistent and inconsistent equations,['equivalent'],['Inequality (mathematics)']
Display Stream Compression,"['data compression', 'lossy', 'algorithm']","['Data compression', 'MP3', 'Algorithm']"
Kindergarten,"['school', 'age', 'seven']","['Mathematics', 'New Age', '7']"
Constant (mathematics),"['number', 'number', 'change']","['Number', 'Number', 'Rate (mathematics)']"
Orthogonal complement,"['set', 'element', 'orthogonal']","['Set (mathematics)', 'Element (mathematics)', 'Orthogonality (mathematics)']"
Infinite-dimensional vector function,"['vector', 'dimension', 'function']","['Vector (mathematics and physics)', 'Dimension', 'Function (mathematics)']"
Characteristic polynomial,"['prime number', 'polynomial', 'coefficient']","['Prime number', 'Polynomial', 'Coefficient']"
Transitive relation,"['relation', 'subordinate', 'party']","['Relation (mathematics)', 'Subordinator (mathematics)', 'Graph (discrete mathematics)']"
Nilpotent,['zero'],['0']
Field trace,"['field', 'time', 'graph']","['Field (mathematics)', 'Local time (mathematics)', 'Graph (discrete mathematics)']"
Singularity (mathematics),['infinitely far from any other point in spacetime'],['Shape of the universe']
Intersection (set theory),"['set', 'group', 'element']","['Set (mathematics)', 'Group (mathematics)', 'Element (mathematics)']"
Electromagnetic tensor,"['vector', 'quantity', 'direction']","['Vector (mathematics and physics)', 'Quantity', 'Vector (mathematics and physics)']"
Applied mathematics,['applied mathematics'],[]
Operator (mathematics),['operator (mathematics)'],['Discrete mathematics']
Mathematics,['Applied mathematics'],['Applied mathematics']
Null set,"['set', 'element', 'type']","['Set (mathematics)', 'Element (mathematics)', 'OpenType']"
Semisimple Lie algebra,"['Lie group', 'characteristic 0']","['Lie group', 'Characteristic (algebra)']"
Glossary of computer graphics,"['arithmetic', 'geometry', 'algebra']","['Arithmetic', 'Geometry', 'Algebra']"
Orthogonal coordinates,"['set', 'coordinate', 'coordinate system']","['Set (mathematics)', 'Coordinate system', 'Coordinate system']"
Sequence,"['number', 'sequence', 'number']","['Number', 'Number']"
Quotient,"['ratio', 'ratios', 'number']","['Ratio', 'Ratio', 'Number']"
Inequality (mathematics),"['Inequality', 'number', 'set']","['Number', 'Set (mathematics)']"
2D computer graphics,"['surface', 'representation', 'object']","['Surface (mathematics)', 'Representation (mathematics)', 'Category (mathematics)']"
Ordered pair,"['order', 'pair', 'vector']","['Mathematics', 'Pairing', 'Vector (mathematics and physics)']"
Finitely generated module,"['group', 'module', 'generate']","['Group (mathematics)', 'Module (mathematics)', 'Generator (mathematics)']"
Interior product,"['volume', 'surface', 'measure']","['Volume', 'Surface (mathematics)', 'Measure (mathematics)']"
Data economy,"['data', 'money', 'system']","['Mathematics', 'Money', 'Mathematics']"
Markov chain,"['probability', 'model', 'modeler']","['Probability', 'Mathematics', 'Mathematics']"
Jacobian matrix and determinant,"['matrix', 'determinant', 'row']","['Matrix (mathematics)', 'Determinant', 'Rank (linear algebra)']"
Unit cube,"['number', 'cube', 'number']","['Number', 'Cube (algebra)', 'Number']"
Permutation City,"['city', 'number', 'permutation']","['Cis (mathematics)', 'Number', 'Permutation']"
Hat operator,"['operator', 'function', 'result']","['Operator (mathematics)', 'Function (mathematics)', 'Result']"
Rank–nullity theorem,"['theorem', 'proof', 'concept']","['Theorem', 'Proof theory', 'Concept']"
Polynomial interpolation,"['interpolation', 'point', 'method']","['Interpolation', 'Point (geometry)', 'Mathematics']"
Ramp function,['constant rate of change'],['Constant function']
Counterexample,"['problem', 'solution', 'result']","['Word problem (mathematics)', 'Equation', 'Result']"
Uniform space,"['space', 'point', 'size']","['Space (mathematics)', 'Point (geometry)', 'Size']"
