concept,dep_articles_de2,dep_articles_de3,dep_articles
Polarization identity,[],"['Inner product space', 'Vector space', 'Dimension (vector space)', 'Basis (linear algebra)', 'Dot product']","['Dimension (vector space)', 'Vector space', 'Dot product', 'Basis (linear algebra)', 'Inner product space']"
Orthogonal group,"['Orthogonal matrix', 'Orthogonal coordinates', 'Orthogonal functions', 'Principal axis theorem']","['Matrix (mathematics)', 'Invertible matrix', 'If and only if', 'Linear map', 'Typography']","['Orthogonal functions', 'Linear map', 'Orthogonal coordinates', 'Invertible matrix', 'Orthogonal matrix', 'Typography', 'Matrix (mathematics)', 'If and only if']"
Parallel (operator),"['Flow network', 'Conservation law', 'Euclidean vector', 'Geometric algebra', 'Vector space']","['Parallel (geometry)', 'Volt', 'Resistor', 'Point (geometry)', 'Ampere']","['Conservation law', 'Flow network', 'Vector space', 'Euclidean vector', 'Ampere', 'Volt', 'Geometric algebra', 'Point (geometry)', 'Resistor']"
Zero matrix,"['Matrix (mathematics)', 'Matrix addition', 'Matrix multiplication', 'Matrix norm', 'Pauli matrices']","['Matrix (mathematics)', 'Scalar multiplication', 'Multiplication', 'Algebra', 'Mathematical proof']","['Multiplication', 'Matrix addition', 'Algebra', 'Pauli matrices', 'Scalar multiplication', 'Matrix norm', 'Matrix (mathematics)', 'Mathematical proof']"
Slope,"['Linear map', 'Affine transformation', 'Dilation (morphology)']","['Matrix (mathematics)', 'Multiplication', 'Angle', 'Equation', 'Euclidean vector']","['Angle', 'Linear map', 'Euclidean vector', 'Affine transformation', 'Dilation (morphology)', 'Equation', 'Matrix (mathematics)']"
Harmonic scale,[],"['Richter magnitude scale', 'Earthquake', 'Exponential function', 'Function (mathematics)', '2010 Haiti earthquake']","['Function (mathematics)', 'Earthquake', 'Exponential function', '2010 Haiti earthquake', 'Richter magnitude scale']"
Velocity,"['Euclidean vector', 'Geometric algebra', 'Geometric series', 'Unit vector', 'Vector (mathematics and physics)']","['Euclidean vector', 'Hypotenuse', 'Right triangle', 'Triangle', 'Airplane']","['Triangle', 'Unit vector', 'Hypotenuse', 'Euclidean vector', 'Vector (mathematics and physics)', 'Geometric series', 'Geometric algebra', 'Right triangle', 'Airplane']"
Characterization (mathematics),"['Matrix equivalence', 'Partition function (mathematics)']","['Matrix (mathematics)', 'Free module', 'Equivalence class', 'Mathematical proof', 'Typography']","['Free module', 'Typography', 'Partition function (mathematics)', 'Matrix equivalence', 'Equivalence class', 'Matrix (mathematics)', 'Mathematical proof']"
Solver,['Triangular matrix'],"['Eigenvalues and eigenvectors', 'Polynomial', 'Matrix (mathematics)', 'Characteristic polynomial', 'Field extension']","['Characteristic polynomial', 'Polynomial', 'Triangular matrix', 'Field extension', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Linear system,['Vector space'],"['Banana', 'Apple', 'Variable (mathematics)', 'System of linear equations', 'Fruit']","['Banana', 'Vector space', 'Fruit', 'System of linear equations', 'Variable (mathematics)', 'Apple']"
Scalar (mathematics),"['Vector space', 'System of linear equations', 'Matrix addition', 'Scalar multiplication', 'Mathematics']","['Real number', 'Matrix (mathematics)', 'Complex number', '.example', 'Scalar multiplication']","['Matrix addition', '.example', 'Real number']"
Partial differential equation,['Outer product'],"['Matrix (mathematics)', 'Euclidean vector', 'System of linear equations', 'Column', 'Orthogonality']","['Outer product', 'Euclidean vector', 'System of linear equations', 'Orthogonality', 'Column', 'Matrix (mathematics)']"
Gaussian elimination,"['System of linear equations', 'Numerical methods for ordinary differential equations', 'Elementary mathematics', 'Linear combination', 'Block-stacking problem']","['System of linear equations', 'Variable (mathematics)', 'Matrix (mathematics)', 'Equation', 'Linear equation']","['Block-stacking problem', 'System of linear equations', 'Numerical methods for ordinary differential equations', 'Equation', 'Linear equation']"
Recurrence plot,"['Laplace expansion', 'Adjugate matrix', 'Matrix (mathematics)']","['Field extension', 'Recurrence relation', 'Chemical formula', 'Sequence', 'Determinant']","['Laplace expansion', 'Sequence', 'Recurrence relation', 'Adjugate matrix', 'Determinant', 'Field extension', 'Matrix (mathematics)', 'Chemical formula']"
Discriminant,"['Quadratic formula', 'Pythagorean theorem']","['Quadratic equation', 'Formula', 'Cartesian coordinate system', 'Rotation', 'Real number']","['Quadratic formula', 'Pythagorean theorem', 'Cartesian coordinate system', 'Real number', 'Quadratic equation', 'Rotation', 'Formula']"
Hamming bound,"['Code', 'Coding theory', 'Gray code', 'Hamming distance']","['Error (baseball)', 'Code word', 'Disjoint sets', 'Decoding methods', 'Tee-ball']","['Decoding methods', 'Hamming distance', 'Code', 'Disjoint sets', 'Gray code', 'Error (baseball)', 'Coding theory', 'Code word', 'Tee-ball']"
Flatland,['Mathematics'],"['Euclidean vector', 'Tuple', 'Integer (computer science)', 'Order theory', 'Ordered pair']","['Mathematics', 'Order theory', 'Euclidean vector', 'Integer (computer science)', 'Tuple', 'Ordered pair']"
Tangent,[],"['Equation', 'Function (mathematics)', 'Variable (mathematics)', 'Linear equation', 'System of equations']","['Function (mathematics)', 'System of equations', 'Variable (mathematics)', 'Equation', 'Linear equation']"
Quadrant (plane geometry),"['Cartesian coordinate system', 'Coordinate system', 'Axis', 'Ordered pair', 'Origin (mathematics)']","['Cartesian coordinate system', 'Algebra', 'Clockwise', 'Length', 'Point (geometry)']","['Coordinate system', 'Origin (mathematics)', 'Algebra', 'Cartesian coordinate system', 'Clockwise', 'Axis', 'Length', 'Point (geometry)', 'Ordered pair']"
Primary decomposition,[],"['Polynomial', 'Prime number', 'Monic polynomial', 'Integer factorization', 'Coprime integers']","['Coprime integers', 'Polynomial', 'Monic polynomial', 'Integer factorization', 'Prime number']"
Restriction (mathematics),"['Invariant subspace', 'Triangular matrix']","['Function (mathematics)', 'Inverse function', 'Domain of a function', 'Linear subspace', 'Inverse (website)']","['Function (mathematics)', 'Domain of a function', 'Inverse (website)', 'Linear subspace', 'Triangular matrix', 'Inverse function', 'Invariant subspace']"
Chinese remainder theorem,[],"['Polynomial', 'F(x) (musical group)', 'Vector space', 'Row and column spaces', 'Corollary']","['Corollary', 'F(x) (musical group)', 'Vector space', 'Polynomial', 'Row and column spaces']"
Rigid analytic space,[],"['Vector space', 'Invariant (mathematics)', 'Invariant subspace', 'Direct sum of modules', 'Admissible evidence']","['Vector space', 'Admissible evidence', 'Direct sum of modules', 'Invariant subspace', 'Invariant (mathematics)']"
Least-squares adjustment,[],"['Vector space', 'Linear map', 'Function (mathematics)', 'Matrix (mathematics)', 'Bicycle']","['Function (mathematics)', 'Linear map', 'Vector space', 'Bicycle', 'Matrix (mathematics)']"
Additive inverse,"['Vector space', 'Euclidean vector', 'Scalar multiplication', 'Vector (mathematics and physics)']","['Real number', 'Scalar multiplication', 'Euclidean vector', 'Vector space', 'Row and column vectors']","['Vector space', 'Euclidean vector', 'Vector (mathematics and physics)', 'Real number', 'Scalar multiplication', 'Row and column vectors']"
Hyperspace,['Dual space'],"['Vector space', 'Linear form', 'Dimension (vector space)', 'Kernel (linear algebra)', 'Polynomial']","['Dimension (vector space)', 'Vector space', 'Dual space', 'Kernel (linear algebra)', 'Polynomial', 'Linear form']"
Complexification,[],"['Vector space', 'Matrix multiplication', 'Complex number', 'Matrix (mathematics)', 'Row and column vectors']","['Vector space', 'Matrix multiplication', 'Complex number', 'Matrix (mathematics)', 'Row and column vectors']"
Linear combination,"['System of linear equations', 'Numerical methods for ordinary differential equations', 'Triviality (mathematics)', 'Symmetric matrix', 'Gaussian elimination']","['System of linear equations', 'Matrix (mathematics)', '.example', 'Field extension', 'Equation']","['Numerical methods for ordinary differential equations', 'Equation', '.example', 'Field extension', 'Triviality (mathematics)']"
Economic model,['Input–output model'],"['Triangular matrix', 'Exercise', 'Hint (musician)', 'Matrix (mathematics)', 'Unicode block']","['Input–output model', 'Unicode block', 'Triangular matrix', 'Hint (musician)', 'Matrix (mathematics)', 'Exercise']"
Riffle shuffle permutation,[],"['Permutation', 'Matrix (mathematics)', 'Formula', 'Function (mathematics)', 'Parity of a permutation']","['Function (mathematics)', 'Permutation', 'Matrix (mathematics)', 'Parity of a permutation', 'Formula']"
Inductive reasoning,[],"['Mathematical induction', 'Matrix multiplication', 'Vertex (geometry)', 'Matrix (mathematics)', 'Type theory']","['Matrix multiplication', 'Mathematical induction', 'Type theory', 'Matrix (mathematics)', 'Vertex (geometry)']"
Four-dimensional space,['Gaussian elimination'],"['Least squares', 'Matrix (mathematics)', 'Euclidean vector', 'Square', 'Square root']","['Square root', 'Square', 'Euclidean vector', 'Least squares', 'Matrix (mathematics)', 'Gaussian elimination']"
Homology (mathematics),[],"['Invertible matrix', 'Matrix (mathematics)', 'Linear map', 'If and only if', 'Dimension']","['If and only if', 'Linear map', 'Dimension', 'Matrix (mathematics)', 'Invertible matrix']"
Inverse function,"['Generalized inverse', 'Matrix (mathematics)', 'System of linear equations', 'Inverse function', 'Multiplicative inverse']","['Function (mathematics)', '.example', 'Invertible matrix', 'Inverse element', 'Matrix (mathematics)']","['Function (mathematics)', 'Inverse element', '.example']"
Reflection group,[],"['Hyperplane', 'Isometry', 'Rotation', 'Orthonormal basis', 'Reflection (mathematics)']","['Isometry', 'Reflection (mathematics)', 'Hyperplane', 'Orthonormal basis', 'Rotation']"
Schur decomposition,"['Characteristic polynomial', 'List of unsolved problems in mathematics']","['Eigenvalues and eigenvectors', 'Matrix (mathematics)', 'If and only if', 'Vector space', 'Invertible matrix']","['If and only if', 'List of unsolved problems in mathematics', 'Vector space', 'Characteristic polynomial', 'Matrix (mathematics)', 'Invertible matrix', 'Eigenvalues and eigenvectors']"
Euclidean space,[],"['Linear subspace', 'Subset', 'Empty set', 'Geometry', 'Euclidean vector']","['Geometry', 'Euclidean vector', 'Linear subspace', 'Subset', 'Empty set']"
Atmospheric lidar,[],"['Orthogonal basis', 'Orthogonality', 'Euclidean vector', 'Field extension', 'Geometry']","['Geometry', 'Euclidean vector', 'Orthogonality', 'Field extension', 'Orthogonal basis']"
Euclidean vector,"['Vector (mathematics and physics)', 'Vector space', 'Euclidean vector', 'Unit vector', 'Matrix (mathematics)']","['Matrix (mathematics)', 'Point (geometry)', 'Geometry', 'Real number', 'Algebra']","['Point (geometry)', 'Algebra', 'Real number', 'Geometry']"
Component (graph theory),[],"['Euclidean vector', 'Point (geometry)', 'Parametric equation', 'Position (geometry)', 'Dimension']","['Position (geometry)', 'Dimension', 'Euclidean vector', 'Point (geometry)', 'Parametric equation']"
History of logarithms,['History of logarithms'],"['Logarithm', 'Product rule', 'Real number', 'Prime number', 'Positive real numbers']","['Positive real numbers', 'Product rule', 'Real number', 'Prime number', 'Logarithm']"
Ohm's law,"['Flow network', 'Mathematical and theoretical biology', 'Condition number']","['Electrical network', 'Resistor', 'Voltage', 'Clockwise', 'Electrical resistance and conductance']","['Electrical resistance and conductance', 'Condition number', 'Flow network', 'Electrical network', 'Clockwise', 'Mathematical and theoretical biology', 'Resistor', 'Voltage']"
QR algorithm,['Factorization'],"['Matrix (mathematics)', 'Column', 'Polynomial', 'Triangular matrix', 'Gaussian elimination']","['Factorization', 'Polynomial', 'Triangular matrix', 'Column', 'Matrix (mathematics)', 'Gaussian elimination']"
Log-polar coordinates,[],"['Polar coordinate system', 'Matrix (mathematics)', 'Coordinate system', 'Cartesian coordinate system', 'Symmetric matrix']","['Polar coordinate system', 'Coordinate system', 'Symmetric matrix', 'Cartesian coordinate system', 'Matrix (mathematics)']"
Parity (mathematics),[],"['Vector space', 'Exercise', 'Independent politician', 'If and only if', 'Dimension']","['Independent politician', 'Vector space', 'Dimension', 'Exercise', 'If and only if']"
Box plot,"['Orientation (geometry)', 'Sense', 'Volume']","['Determinant', 'Geometry', 'Function (mathematics)', 'Formula', 'Sign function']","['Function (mathematics)', 'Orientation (geometry)', 'Sign function', 'Geometry', 'Determinant', 'Sense', 'Formula', 'Volume']"
AdS/CFT correspondence,['Isomorphism'],"['Isomorphism', 'Vector space', 'Communication', 'Scalar multiplication', 'Bijection']","['Bijection', 'Vector space', 'Isomorphism', 'Communication', 'Scalar multiplication']"
Product (mathematics),"['Radical extension', 'Radical symbol', 'Soviet Union', 'Square root']",[],"['Square root', 'Radical extension', 'Radical symbol', 'Soviet Union']"
List of named matrices,"['System of linear equations', 'Elementary mathematics', 'Matrix multiplication', 'Distance matrix', 'Minor (linear algebra)']","['Matrix (mathematics)', 'Multiplication', 'Euclidean vector', 'Variable (mathematics)', 'Geometry']","['System of linear equations', 'Multiplication', 'Elementary mathematics', 'Geometry']"
List of theorems,"['Reflection (mathematics)', 'Polynomial', 'Polynomial ring']","['Vector space', 'Matrix (mathematics)', 'Theorem', 'Mathematical proof', 'Polynomial']","['Polynomial ring', 'Theorem', 'Vector space', 'Reflection (mathematics)', 'Polynomial', 'Matrix (mathematics)', 'Mathematical proof']"
Self-organizing map,"['Orthogonal matrix', 'Orthonormal basis', 'Congruence (geometry)']","['Matrix (mathematics)', 'Stochastic matrix', 'Plane (geometry)', 'Isometry', 'Euclid']","['Isometry', 'Stochastic matrix', 'Orthogonal matrix', 'Orthonormal basis', 'Matrix (mathematics)', 'Euclid', 'Congruence (geometry)', 'Plane (geometry)']"
Oscillator representation,[],"['Eigenvalues and eigenvectors', 'Matrix (mathematics)', 'Demo (music)', 'Characteristic polynomial', 'Diagonalizable matrix']","['Diagonalizable matrix', 'Characteristic polynomial', 'Demo (music)', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Poisson kernel,['Orthonormal basis'],"['Vector space', 'Inner product space', 'Product topology', 'Linear map', 'Angle']","['Angle', 'Linear map', 'Vector space', 'Product topology', 'Orthonormal basis', 'Inner product space']"
Spectral theory,[],"['Normal operator', 'Diagonalizable matrix', 'Polynomial', 'Dimension (vector space)', 'Inner product space']","['Diagonalizable matrix', 'Dimension (vector space)', 'Normal operator', 'Polynomial', 'Inner product space']"
Antimagic square,['Magic square'],"['River', 'Parity (mathematics)', 'Swap (finance)', 'Turtle', 'Sacrifice']","['Sacrifice', 'Parity (mathematics)', 'Swap (finance)', 'Magic square', 'River', 'Turtle']"
Matrix (mathematics),"['Echelon formation', 'Euclidean vector', 'Vector (mathematics and physics)', 'Canonical form', 'Distance matrix']","['System of linear equations', 'Polynomial', 'Row and column vectors', 'Variable (mathematics)', 'Column']",['Column']
Plane stress,"['Orthogonal matrix', 'Orthonormal basis', 'Congruence (geometry)']","['Matrix (mathematics)', 'Stochastic matrix', 'Plane (geometry)', 'Isometry', 'Euclid']","['Isometry', 'Stochastic matrix', 'Orthogonal matrix', 'Orthonormal basis', 'Matrix (mathematics)', 'Euclid', 'Congruence (geometry)', 'Plane (geometry)']"
Law of cosines,"['Euler angles', 'Euclidean vector']","['Angle', 'Matrix (mathematics)', 'Euclidean vector', 'Field extension', 'Linear map']","['Angle', 'Linear map', 'Euler angles', 'Field extension', 'Matrix (mathematics)']"
Straight-line grammar,[],"['Cartesian coordinate system', 'Rotation', 'Hyperbola', 'Quadratic form', 'Ellipse']","['Hyperbola', 'Cartesian coordinate system', 'Quadratic form', 'Ellipse', 'Rotation']"
Circumscribed circle,[],"['Matrix (mathematics)', 'Mathematical proof', 'Determinant', 'Column', 'Mathematical induction']","['Determinant', 'Mathematical induction', 'Column', 'Matrix (mathematics)', 'Mathematical proof']"
Summation,"['Affine transformation', 'Euler angles', 'Series (mathematics)']","['Arrow', 'Mathematical notation', 'Euclidean vector', 'Angle', 'Sequence']","['Sequence', 'Angle', 'Arrow', 'Euclidean vector', 'Series (mathematics)', 'Affine transformation', 'Euler angles', 'Mathematical notation']"
Orthogonality,[],"['Eigenvalues and eigenvectors', 'Matrix (mathematics)', 'Diagonalizable matrix', 'Symmetric matrix', 'Canonical form']","['Diagonalizable matrix', 'Symmetric matrix', 'Canonical form', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Normal operator,[],"['Eigenvalues and eigenvectors', 'Vector space', 'Diagonalizable matrix', 'Linear map', 'Dimension (vector space)']","['Diagonalizable matrix', 'Vector space', 'Dimension (vector space)', 'Linear map']"
Distributive property,"['Split-complex number', 'Additive identity', 'Complex number', 'Mathematics', 'Associative property']","['Matrix (mathematics)', 'Complex number', 'Matrix similarity', 'Eigenvalues and eigenvectors', 'Linear map']","['Additive identity', 'Linear map', 'Associative property', 'Complex number', 'Split-complex number', 'Eigenvalues and eigenvectors', 'Matrix similarity']"
Minkowski space,['Null set'],"['Matrix (mathematics)', 'Row echelon form', 'Kernel (linear algebra)', 'Row and column spaces', 'Dimension']","['Dimension', 'Kernel (linear algebra)', 'Row echelon form', 'Row and column spaces', 'Null set', 'Matrix (mathematics)']"
Intersection,"['Standard basis', 'Line (geometry)']","['Euclidean vector', 'Experiment', '.example', 'Intersection (set theory)', 'Exercise']","['Intersection (set theory)', 'Standard basis', 'Euclidean vector', 'Experiment', '.example', 'Line (geometry)', 'Exercise']"
Right Sector,[],"['Matrix (mathematics)', 'Economic equilibrium', 'Multiplication', 'New York (state)', 'Economics']","['New York (state)', 'Multiplication', 'Economic equilibrium', 'Economics', 'Matrix (mathematics)']"
Sage (philosophy),['Computer algebra system'],"['Salvia officinalis', 'Computer', 'Computer algebra', 'Maple', 'LINPACK']","['Computer algebra', 'Maple', 'LINPACK', 'Salvia officinalis', 'Computer algebra system', 'Computer']"
Characteristic (algebra),[],"['Eigenvalues and eigenvectors', 'Vector space', 'If and only if', 'Charitable organization', 'Matrix (mathematics)']","['If and only if', 'Vector space', 'Matrix (mathematics)', 'Charitable organization']"
Normed vector space,"['Vector space', 'Euclidean vector', 'Scalar multiplication', 'Vector (mathematics and physics)', 'Additive inverse']","['Vector space', 'Matrix (mathematics)', 'Row and column vectors', 'Linear algebra', 'Scalar multiplication']","['Vector space', 'Euclidean vector', 'Vector (mathematics and physics)', 'Linear algebra', 'Scalar multiplication', 'Matrix (mathematics)', 'Additive inverse', 'Row and column vectors']"
Three-dimensional space,['Linear independence'],"['Euclidean vector', 'Linear combination', 'Independence', 'Linear independence', 'Independence (probability theory)']","['Linear combination', 'Independence', 'Euclidean vector', 'Independence (probability theory)', 'Linear independence']"
Poisson sampling,"['Correlation', 'Mathematics']","['Pearson correlation coefficient', 'Sample (statistics)', 'Vitamin', 'Sick leave', 'Variance']","['Pearson correlation coefficient', 'Mathematics', 'Correlation', 'Vitamin', 'Sample (statistics)', 'Sick leave', 'Variance']"
Pattern Blocks,"['Matrix multiplication', 'Multiplication']","['Matrix multiplication', 'System of linear equations', 'Matrix (mathematics)', 'Multiplication', 'Partition of a set']","['Multiplication', 'Partition of a set', 'Matrix multiplication', 'System of linear equations', 'Matrix (mathematics)']"
Convex function,['Fourier series'],"['F(x) (musical group)', 'Fourier series', 'Approximation', 'Coefficient', 'Theorem']","['Approximation', 'Theorem', 'F(x) (musical group)', 'Fourier series', 'Coefficient']"
Global optimization,['Globalization'],"['Maxima and minima', 'Graph (discrete mathematics)', 'Polynomial', 'Function (mathematics)', 'Quadratic equation']","['Function (mathematics)', 'Globalization', 'Polynomial', 'Quadratic equation', 'Graph (discrete mathematics)', 'Maxima and minima']"
Weighted arithmetic mean,['Zero matrix'],"['Matrix (mathematics)', 'Zero matrix', 'Scalar multiplication', 'Polynomial', 'Scalar (mathematics)']","['Polynomial', 'Zero matrix', 'Scalar multiplication', 'Matrix (mathematics)', 'Scalar (mathematics)']"
Involutory matrix,"['Identity matrix', 'Invertible matrix', 'Singular value']","['Matrix (mathematics)', 'Invertible matrix', 'Vector space', 'System of linear equations', 'Solution set']","['Singular value', 'Vector space', 'Solution set', 'System of linear equations', 'Matrix (mathematics)', 'Invertible matrix']"
Diagonal,"['Row equivalence', 'System of equations', 'Determinant', 'Diagonal matrix', 'Coefficient']","['Matrix (mathematics)', 'Main diagonal', 'Column', 'Triangular matrix', '.example']","['Main diagonal', 'System of equations', 'Coefficient', 'Determinant', '.example', 'Column', 'Matrix (mathematics)']"
Direct sum of groups,['Direct sum'],"['Isomorphism', 'Direct sum', 'Vector space', 'Dimension', 'Inverse function']","['Vector space', 'Dimension', 'Isomorphism', 'Inverse function', 'Direct sum']"
Matrix theory (physics),"['Matrix (mathematics)', 'Triangular matrix']","['Matrix (mathematics)', 'Multiplication', 'Mathematics', 'System of linear equations', 'Matrix multiplication']","['Multiplication', 'Mathematics', 'Matrix multiplication', 'System of linear equations', 'Matrix (mathematics)']"
Hamming code,[],"['If and only if', 'Vector space', 'Standard basis', 'Introduction to the Theory of Error-Correcting Codes', 'Duchy of Pless']","['Standard basis', 'Duchy of Pless', 'Vector space', 'Introduction to the Theory of Error-Correcting Codes', 'If and only if']"
Ball (mathematics),"['Code', 'Coding theory', 'Gray code', 'Hamming distance']","['Volume', 'Code word', 'Error (baseball)', 'Decoding methods', 'Cartesian coordinate system']","['Decoding methods', 'Hamming distance', 'Code', 'Cartesian coordinate system', 'Gray code', 'Error (baseball)', 'Coding theory', 'Code word', 'Volume']"
Nilpotent,['Linear equation'],"['Matrix (mathematics)', 'Eigenvalues and eigenvectors', 'Diagonalizable matrix', 'Exercise', 'Determinant']","['Diagonalizable matrix', 'Eigenvalues and eigenvectors', 'Determinant', 'Matrix (mathematics)', 'Exercise', 'Linear equation']"
Area of a circle,"['Cross product', 'Seven-dimensional cross product', 'Coefficient', 'Sign function']","['Exponentiation', 'Function (mathematics)', 'Bird', 'Parallelogram', 'Sample (statistics)']","['Function (mathematics)', 'Bird', 'Sign function', 'Exponentiation', 'Parallelogram', 'Coefficient', 'Cross product', 'Seven-dimensional cross product', 'Sample (statistics)']"
Data economy,[],"['Matrix (mathematics)', 'Economic equilibrium', 'Multiplication', 'New York (state)', 'Economics']","['New York (state)', 'Multiplication', 'Economic equilibrium', 'Economics', 'Matrix (mathematics)']"
Polar coordinate system,"['Directrix', 'Focus (geometry)']","['Complex number', 'Chemical polarity', 'Cartesian coordinate system', 'Geographical pole', 'Conic section']","['Geographical pole', 'Chemical polarity', 'Cartesian coordinate system', 'Conic section', 'Focus (geometry)', 'Complex number', 'Directrix']"
Algebraically closed field,[],"['Polynomial', 'Real number', 'Irreducible polynomial', 'Nth root', 'Coprime integers']","['Coprime integers', 'Irreducible polynomial', 'Nth root', 'Real number', 'Polynomial']"
Block-stacking problem,"['Linear equation', 'System of linear equations']","['System of linear equations', 'Mass', 'TNT', 'Science', 'Linear equation']","['Mass', 'TNT', 'System of linear equations', 'Science', 'Linear equation']"
Ideal gas,"['Projective geometry', 'Vanish at infinity']","['Euclidean geometry', 'Plane (geometry)', 'Projective geometry', 'Projective plane', 'Equator']","['Vanish at infinity', 'Equator', 'Euclidean geometry', 'Projective plane', 'Projective geometry', 'Plane (geometry)']"
Self-similarity,[],"['Square matrix', 'Eigenvalues and eigenvectors', 'Linear map', 'Square root', 'Diagonalizable matrix']","['Diagonalizable matrix', 'Square root', 'Linear map', 'Square matrix', 'Eigenvalues and eigenvectors']"
Penrose triangle,"['Projective geometry', 'Vanish at infinity']","['Projective plane', 'Plane (geometry)', 'If and only if', 'Geometry', 'Coordinate vector']","['Vanish at infinity', 'Projective plane', 'Geometry', 'Projective geometry', 'Coordinate vector', 'If and only if', 'Plane (geometry)']"
Multiplication algorithm,['Addition principle'],"['.example', 'Matrix (mathematics)', 'ISO 10303-21', 'Algorithm', 'Eigenvalues and eigenvectors']","['Algorithm', '.example', 'ISO 10303-21', 'Matrix (mathematics)', 'Addition principle', 'Eigenvalues and eigenvectors']"
Lowest common denominator,[],[],[]
Cost function,[],"['Temperature', 'Function (mathematics)', 'Function composition', 'Mean', 'Heat']","['Function (mathematics)', 'Temperature', 'Mean', 'Heat', 'Function composition']"
North Korea,[],"['Expression (mathematics)', 'Rational function', 'Division by zero', 'Function (mathematics)', 'Determine']","['Function (mathematics)', 'Determine', 'Expression (mathematics)', 'Rational function', 'Division by zero']"
Generalized eigenvector,"['Characteristic polynomial', 'Triangular matrix', 'Weight (representation theory)', 'Multiplicity (mathematics)', 'Multiset']","['Eigenvalues and eigenvectors', 'Matrix (mathematics)', 'Linear combination', 'Vector space', 'Field extension']","['Weight (representation theory)', 'Linear combination', 'Vector space', 'Characteristic polynomial', 'Multiset', 'Triangular matrix', 'Field extension', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
PH,[],"['Logarithm', 'Simplification', '.example', 'Condensation', 'Multiplicative inverse']","['Multiplicative inverse', '.example', 'Simplification', 'Condensation', 'Logarithm']"
Injective function,['Transformation geometry'],"['Function (mathematics)', 'Linear map', 'Matrix (mathematics)', 'Vector space', 'Equation']","['Function (mathematics)', 'Transformation geometry', 'Linear map', 'Vector space', 'Equation', 'Matrix (mathematics)']"
Alex Sink,"['PageRank', 'ALGOL 58']","['Randomness', 'Surfing', 'PageRank', 'Matrix (mathematics)', 'Three Links']","['Three Links', 'Matrix (mathematics)', 'PageRank', 'ALGOL 58', 'Randomness', 'Surfing']"
Scalar multiplication,"['Vector notation', 'Matrix (mathematics)', 'Euclidean vector', 'Numerical methods for ordinary differential equations', 'Vector (mathematics and physics)']","['Euclidean vector', 'Matrix (mathematics)', 'Scalar (mathematics)', 'System of linear equations', 'Column']","['Column', 'System of linear equations', 'Numerical methods for ordinary differential equations', 'Vector (mathematics and physics)']"
Baden Powell (mathematician),['Crystal oscillator'],"[""Newton's laws of motion"", 'Rotation', 'Oscillation', 'Computer science', 'Mass']","['Crystal oscillator', 'Mass', 'Computer science', 'Oscillation', ""Newton's laws of motion"", 'Rotation']"
Alpha Centauri Bb,['Exponential decay'],"['Exponential growth', 'Graph (discrete mathematics)', 'Exponential decay', 'Mathematical model', 'Half-life']","['Exponential decay', 'Half-life', 'Exponential growth', 'Graph (discrete mathematics)', 'Mathematical model']"
Subset,"['Linear subspace', 'Empty set', 'Set (mathematics)', 'Vector notation', 'Product (mathematics)']","['Linear subspace', 'Matrix (mathematics)', 'Euclidean vector', 'Linear map', 'Orthogonal group']","['Linear map', 'Vector notation', 'Euclidean vector', 'Product (mathematics)', 'Matrix (mathematics)']"
Orthonormal basis,"['Orthogonality (mathematics)', 'Gram–Schmidt process', 'Orthogonal basis', 'Basis (linear algebra)', 'Vector space']","['Orthonormality', 'Inner product space', 'Orthogonality', 'Euclidean vector', 'Vector space']","['Orthonormality', 'Orthogonality (mathematics)', 'Euclidean vector', 'Orthogonality', 'Inner product space']"
Finite field,"['Euclidean algorithm', 'Modulo (mathematics)']","['Modular arithmetic', 'Arithmetic', 'Invertible matrix', 'Peano axioms', 'Real number']","['Modulo (mathematics)', 'Real number', 'Arithmetic', 'Euclidean algorithm', 'Peano axioms', 'Invertible matrix', 'Modular arithmetic']"
Nth root,"['Nth root', 'Polynomial', 'Index (economics)']",[],"['Polynomial', 'Index (economics)']"
Galois theory,"['Code', 'Euclidean algorithm', 'Hamming distance']","['Matrix (mathematics)', 'Abstract algebra', 'Real number', 'Inverse function', 'Divisor']","['Divisor', 'Hamming distance', 'Code', 'Abstract algebra', 'Real number', 'Euclidean algorithm', 'Inverse function', 'Matrix (mathematics)']"
Coefficient,"['Distance matrix', 'System of linear equations', 'Matrix (mathematics)', 'Vector (mathematics and physics)', 'Echelon formation']","['Matrix (mathematics)', 'System of linear equations', 'Elementary matrix', 'Row echelon form', 'Augmented matrix']","['System of linear equations', 'Augmented matrix', 'Row echelon form']"
Regression dilution,[],"['Linear regression', 'Least squares', 'Square', 'Statistics', 'Chirp']","['Square', 'Least squares', 'Statistics', 'Chirp', 'Linear regression']"
Operator (mathematics),['Free module'],"['Vector space', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors', 'Linear map', 'Linear combination']","['Linear map', 'Free module', 'Vector space', 'Linear combination', 'Matrix (mathematics)']"
